question1,question2
"What are the main features of object oriented programming? Declare a C++ structure (Program) to contain the following piece of information about cars on a used car lot: The manufacturer of the car, Modle name of the car, The asking price for the car, The numbers of miles on odometer","What are the key characteristics of object oriented programming? Create a C++ structure (Program) that stores data on used cars in a car lot, including the car's manufacturer, model name, asking price, and odometer reading."
Explain Dynamic Programming approach of problem solving. Compare it with the greedy method and divide and conquer strategy.,"Describe how Dynamic Programming is used to solve problems, and compare it to the Greedy Method and Divide and Conquer Strategy."
"Write short notes on: (Any two) Utilization & occupancy, Feedback System, Poisson Arrival","Create brief summaries of Utilization and Occupancy, Feedback System, and Poisson Arrival."
What are mass curve and hyetograph of storm?,What are the measurements of the amount of rainfall and the shape of the rainfall rate over a given period of time during a storm?
What are the roles of literals in machine independent assembler? Differentiate between symbol table and Argument table.,What are the purposes of literal values in machine-independent assembly language and how do symbol tables and argument tables differ?
Draw the connection diagram showing a DAC and RAM connected to 8085 microprocessor. Write an assembly program to read the data from RAM location 0010H and send the data to DAC at address 1100H.,Construct a link chart displaying a Digital-to-Analog Converter (DAC) and Random Access Memory (RAM) connected to an 8085 microprocessor. Compose a program in assembly language to retrieve information from RAM location 0010H and transfer it to the DAC at address 1100H.
What is Paging? Discuss in detail the use of Translation look aside buffer (TLB) in the process of Paging?,How does Translation Look Aside Buffer (TLB) work in the context of Paging? Please explain in detail.
"Write short notes on: (Any two) Ideal and procticle sources, Power factor and its significance, Losses in rotating m/c","1. Compose a brief summary of ideal and practical sources, power factor and its importance, and losses in rotating machinery. 2. Provide a concise description of ideal and practical sources, power factor and its relevance, and losses in rotating machines."
"A turbine is to operate under a head of 25m at 200rpm. The discharge is 9 cumec. If the efficiency s 90%, determine the power generated and specific speed of turbine.","What is the power output and specific speed of a turbine that operates at a head of 25m, a rotation speed of 200rpm, and a discharge of 9 cumecs, with an efficiency of 90%?"
Design Consideration of Electromagnetic Relays.,What are the design aspects to take into account when creating an electromagnetic relay?
"Describe how the speed of a separately excited dc motor is controlled through the use of two converters, one for the armature circuit and the other for the field circuit. Discuss how the two – quadrant operation of the motor can be achieved.","Explain how the speed of a separately excited DC motor can be regulated by two converters, one for the armature circuit and the other for the field circuit. Elaborate on how the motor can be operated in two-quadrant mode."
